,current_delta,soc_coulomb,soc_kalman
130,0.012859,[-228.69529364],[-131.87826058]
131,0.012859,[-228.72678228],[-131.90974921]
132,0.012859,[-228.75827091],[-131.94123784]
133,0.012859,[-228.78975954],[-131.97272647]
134,0.012859,[-228.82124817],[-132.0042151]
135,0.012859,[-228.8527368],[-132.03570373]
136,0.13367,[-228.88422544],[-132.06719237]
137,1.3164,[-229.21155147],[-132.3945184]
138,2.9506,[-232.4351019],[-135.61806883]
139,4.3345,[-239.66041935],[-138.32012935]
140,5.7205,[-250.27457868],[-148.93428868]
141,5.4552,[-264.28272229],[-162.94243228]
142,5.8237,[-277.6412093],[-176.3009193]
143,6.0151,[-291.90206516],[-190.56177515]
144,3.7866,[-306.63161408],[-205.29132407]
145,2.7655,[-315.90409665],[-214.56380665]
146,2.3944,[-322.67614824],[-221.33585824]
147,2.948,[-328.53946422],[-227.19917422]
148,1.8924,[-335.75841489],[-234.41812489]
149,2.5999,[-340.3924523],[-228.61371058]
150,1.8149,[-346.75898888],[-234.98024717]
151,1.3287,[-351.20324722],[-239.42450551]
152,1.3425,[-354.45691743],[-242.67817571]
153,2.057,[-357.74438055],[-245.96563883]
154,0.67879,[-362.78148419],[-251.00274248]
155,0.67879,[-364.44367942],[-252.6649377]
156,2.0956,[-366.10587465],[-254.32713293]
157,3.7768,[-371.23750051],[-259.45875879]
158,1.8459,[-380.48598521],[-268.7072435]
159,3.0051,[-385.00615518],[-261.35036784]
160,1.3509,[-392.36493017],[-268.70914283]
161,3.1006,[-395.67296289],[-272.01717556]
162,1.4034,[-403.26559467],[-279.60980733]
163,1.4141,[-406.7021874],[-283.04640006]
164,1.4248,[-410.16498189],[-286.50919455]
165,-0.50076,[-413.65397813],[-289.99819079]
166,-1.2951,[-412.42773602],[-288.77194868]
167,0.40453,[-409.25634422],[-285.60055689]
168,0.21185,[-410.24694195],[-286.59115462]
169,-0.11201,[-410.76571221],[-275.11828121]
170,1.1354,[-410.49142636],[-274.84399536]
171,-0.62707,[-413.27175085],[-277.62431985]
172,1.4858,[-411.7362056],[-276.0887746]
173,0.011324,[-415.37457633],[-279.72714533]
174,0.55864,[-415.40230612],[-279.75487511]
175,0.18866,[-416.77028258],[-281.12285157]
176,1.1018,[-417.23226603],[-281.58483503]
177,1.1079,[-419.93031212],[-284.28288112]
178,0.37419,[-422.64329565],[-286.99586465]
179,0.18726,[-423.55959794],[-276.52535579]
180,0.5484,[-424.01815313],[-276.98391098]
181,0.54637,[-425.36105427],[-278.32681212]
182,-0.86914,[-426.69898442],[-279.66474227]
183,-0.24991,[-424.57066733],[-277.53642518]
184,1.3988,[-423.95869719],[-276.92445504]
185,-2.4102,[-427.38402562],[-280.34978347]
186,5.0098,[-421.4820192],[-274.44777705]
187,2.5027,[-433.74982758],[-286.71558543]
188,3.1156,[-439.87834449],[-292.84410234]
189,2.6317,[-447.50770769],[-289.02642427]
190,0.96709,[-453.95211492],[-295.4708315]
191,3.2753,[-456.32028826],[-297.83900484]
192,1.7871,[-464.34071877],[-305.85943535]
193,2.998,[-468.71690152],[-310.2356181]
