,current_delta,soc_coulomb,soc_kalman
565,0.012859,[-1202.68780646],[-573.56636594]
566,0.012859,[-1202.71929509],[-573.59785457]
567,0.012859,[-1202.75078372],[-573.6293432]
568,0.014561,[-1202.78227235],[-573.66083183]
569,0.70309,[-1202.81792878],[-565.06274343]
570,2.0434,[-1204.53962892],[-566.78444358]
571,3.5113,[-1209.5434294],[-571.78824405]
572,3.4062,[-1218.14176777],[-580.38658242]
573,3.9559,[-1226.48274124],[-588.72755589]
574,7.1727,[-1236.16979924],[-598.41461389]
575,3.4216,[-1253.73403517],[-615.97884982]
576,3.9417,[-1262.11271957],[-624.35753423]
577,6.9749,[-1271.76500515],[-634.0098198]
578,8.1,[-1288.84487593],[-651.08969059]
579,3.415,[-1308.67984896],[-660.77648408]
580,-0.024227,[-1317.04237154],[-669.13900665]
581,-0.25555,[-1316.98304538],[-669.07968049]
582,-0.3689,[-1316.35726422],[-668.45389934]
583,-1.9022,[-1315.45391588],[-667.550551]
584,-2.9537,[-1310.79588061],[-662.89251573]
585,-2.95,[-1303.56297199],[-655.65960711]
586,-2.7289,[-1296.33912379],[-648.43575891]
587,-3.271,[-1289.65669689],[-641.75333201]
588,-3.5216,[-1281.64679606],[-633.74343117]
589,-2.3332,[-1273.02323544],[-615.91207711]
590,-2.2084,[-1267.3097837],[-610.19862538]
591,-2.0047,[-1261.90193748],[-604.79077915]
592,-1.3769,[-1256.99290409],[-599.88174577]
593,-0.34366,[-1253.62120356],[-596.51004523]
594,-0.035978,[-1252.77966197],[-595.66850365]
595,0.012859,[-1252.69156041],[-595.58040208]
596,0.012859,[-1252.72304904],[-595.61189071]
597,0.012859,[-1252.75453767],[-595.64337935]
598,0.012859,[-1252.7860263],[-595.67486798]
599,0.012859,[-1252.81751494],[-587.13693189]
600,0.012859,[-1252.84900357],[-587.16842052]
